,line,start,end
0,Report to your stations immediately.,"00:00:42,800","00:00:44,802"
1,This is not a drill. We are under attack!,"00:00:44,960","00:00:47,721"
2,We are under attack!,"00:00:49,120","00:00:51,088"
3,Shit!,"00:01:52,200","00:01:54,487"
4,Language!,"00:01:52,200","00:01:54,487"
5,"Jarvis, what's the view from upstairs?","00:01:54,600","00:01:56,204"
6,The central building is protected by some kind of energy shield.,"00:01:56,600","00:02:00,286"
7,Strucker's technology is well beyond any other Hydra base we've taken.,"00:02:00,800","00:02:04,522"
8,Loki's sceptre must be here.,"00:02:07,360","00:02:08,930"
9,Strucker couldn't mount this defence without it.,"00:02:09,560","00:02:11,440"
10,At long last.,"00:02:12,160","00:02:13,730"
11,"At long last is lasting a little long, boys.","00:02:25,200","00:02:27,407"
12,Yeah. I think we lost the element of surprise.,"00:02:32,320","00:02:34,846"
13,Wait a second.,"00:02:36,400","00:02:38,607"
14,No one else is gonna deal with the fact,"00:02:36,400","00:02:38,607"
15,that Cap just said Language?,"00:02:38,760","00:02:40,524"
16,I know.,"00:02:40,680","00:02:42,205"
17,Just slipped out.,"00:02:47,240","00:02:49,527"
18,Who gave the order to attack?,"00:02:55,600","00:02:57,364"
19,"Herr Strucker, it's the Avengers.","00:02:57,480","00:02:59,767"
20,They landed in the far woods.,"00:02:59,920","00:03:02,764"
21,The perimeter guard panicked.,"00:02:59,920","00:03:02,764"
22,They have to be after the sceptre.,"00:03:02,920","00:03:04,843"
23,Can we hold them?,"00:03:06,080","00:03:08,447"
24,They're the Avengers.,"00:03:06,080","00:03:08,447"
25,Deploy the rest of the tanks.,"00:03:08,560","00:03:10,164"
26,Concentrate fire on the weak ones.,"00:03:10,320","00:03:12,209"
27,A hit may make them close ranks.,"00:03:12,360","00:03:14,681"
28,Everything we've accomplished...,"00:03:16,280","00:03:18,123"
29,But we're on the verge of our greatest breakthrough.,"00:03:18,280","00:03:20,601"
30,Then let's show them what we've accomplished.,"00:03:20,800","00:03:22,404"
31,Send out the twins.,"00:03:22,520","00:03:24,204"
32,It's too soon.,"00:03:25,480","00:03:27,289"
33,It's what they signed up for.,"00:03:27,400","00:03:29,528"
34,My men can hold them.,"00:03:30,080","00:03:32,003"
35,"Sir, the city is taking fire.","00:03:39,640","00:03:41,529"
36,"Well, we know Strucker's not gonna worry about civilian casualties.","00:03:44,400","00:03:47,882"
37,Send in the Iron Legion.,"00:03:48,040","00:03:49,690"
38,This quadrant is unsafe.,"00:03:54,920","00:03:57,491"
39,Please back away.,"00:03:54,920","00:03:57,491"
40,We are here to help.,"00:03:58,400","00:04:00,004"
41,This quadrant is unsafe.,"00:04:01,120","00:04:03,487"
42,Please back away.,"00:04:01,120","00:04:03,487"
43,Please back away.,"00:04:05,240","00:04:06,321"
44,We wish to avoid collateral damage.,"00:04:06,440","00:04:08,568"
45,Costel!,"00:04:06,440","00:04:08,568"
46,We will inform you when this current conflict is resolved.,"00:04:08,680","00:04:11,160"
47,We are here to help.,"00:04:11,280","00:04:13,328"
48,"Avengers, go home!","00:04:11,280","00:04:13,328"
49,We are here to help.,"00:04:15,760","00:04:16,921"
50,We will not yield!,"00:04:18,000","00:04:19,843"
51,The Americans sent their circus freaks to test us.,"00:04:20,480","00:04:23,768"
52,We will send them back in bags.,"00:04:24,360","00:04:26,806"
53,No surrender!,"00:04:29,160","00:04:32,050"
54,No surrender!,"00:04:29,160","00:04:32,050"
55,I am going to surrender.,"00:04:33,200","00:04:35,089"
56,You delete everything.,"00:04:35,760","00:04:37,171"
57,"If we give the Avengers the weapons,","00:04:37,320","00:04:39,084"
58,they may not look too far into what we've been...,"00:04:39,200","00:04:40,690"
59,The twins.,"00:04:40,840","00:04:42,922"
60,They are not ready to take on...,"00:04:40,840","00:04:42,922"
61,"No, no, I mean...","00:04:43,040","00:04:45,247"
62,Twins.,"00:04:45,360","00:04:46,850"
63,You didn't see that coming?,"00:05:13,160","00:05:15,083"
64,Clint!,"00:05:21,360","00:05:23,681"
65,We have an Enhanced in the field.,"00:05:25,760","00:05:27,080"
66,Clint's hit!,"00:05:27,160","00:05:28,161"
67,Somebody want to deal with that bunker?,"00:05:32,560","00:05:34,080"
68,Thank you.,"00:05:38,080","00:05:39,286"
69,"Stark, we really need to get inside.","00:05:46,400","00:05:48,880"
70,I'm closing in.,"00:05:49,280","00:05:50,281"
71,"Jarvis, am I closing in?","00:05:53,400","00:05:55,528"
72,Do you see a power source for that shield?,"00:05:56,520","00:05:58,443"
73,There's a particle wave below the north tower.,"00:05:58,600","00:06:01,126"
74,"Great, I want to poke it with something.","00:06:01,240","00:06:03,242"
75,"The drawbridge is down, people.","00:06:11,200","00:06:13,123"
76,The Enhanced?,"00:06:17,280","00:06:19,282"
77,He's a blur.,"00:06:17,280","00:06:19,282"
78,"All the new players we've faced, I've never seen this.","00:06:19,960","00:06:22,080"
79,"In fact, I still haven't.","00:06:22,480","00:06:23,766"
80,"Clint's hit pretty bad, guys. We're gonna need evac.","00:06:23,880","00:06:26,167"
81,I can get Barton to the jet.,"00:06:26,320","00:06:29,245"
82,"The sooner we're gone, the better.","00:06:26,320","00:06:29,245"
83,You and Stark secure the sceptre.,"00:06:29,400","00:06:31,721"
84,Copy that.,"00:06:29,400","00:06:31,721"
85,Looks like they're lining up.,"00:06:32,960","00:06:34,769"
86,"Well, they're excited.","00:06:35,080","00:06:36,570"
87,Find the sceptre.,"00:06:40,440","00:06:41,805"
88,"And for gosh sake, watch your language!","00:06:42,800","00:06:45,007"
89,That's not going away any time soon.,"00:06:46,480","00:06:48,403"
90,"Guys, stop. We gotta talk this through.","00:06:54,320","00:06:56,527"
91,It was a good talk.,"00:06:59,520","00:07:02,166"
92,"No, it wasn't.","00:06:59,520","00:07:02,166"
93,Sentry mode.,"00:07:08,360","00:07:10,283"
94,"Okay, Jarvis, you know. I want it all.","00:07:12,640","00:07:16,603"
95,Make sure you copy Hill at HQ.,"00:07:12,640","00:07:16,603"
96,We're locked down out here.,"00:07:21,000","00:07:22,286"
97,Then get to Banner. Time for a lullaby.,"00:07:22,840","00:07:24,968"
98,I know you're hiding more than files.,"00:07:28,680","00:07:30,762"
99,"Hey, J, give me an IR scan of the room, real quick.","00:07:31,960","00:07:34,566"
100,The wall to your left.,"00:07:34,720","00:07:36,245"
101,I'm reading steel reinforcement,"00:07:36,360","00:07:38,010"
102,and an air current.,"00:07:39,240","00:07:40,890"
103,Please be a secret door.,"00:07:41,200","00:07:42,201"
104,Please be a secret door.,"00:07:42,360","00:07:44,280"
105,Please be a secret door.,"00:07:42,360","00:07:44,280"
106,Yay.,"00:07:44,920","00:07:45,921"
107,"Hey, big guy.","00:08:02,200","00:08:04,123"
108,Sun's getting real low.,"00:08:06,480","00:08:08,130"
109,Baron Strucker.,"00:09:12,200","00:09:13,804"
110,Hydra's number one thug.,"00:09:14,320","00:09:16,243"
111,"Technically, I'm a thug for S.H.I.E.L.D.","00:09:16,960","00:09:19,486"
112,"Well, then technically you're unemployed.","00:09:19,640","00:09:21,688"
113,Where's Loki's sceptre?,"00:09:22,120","00:09:23,770"
114,"Don't worry, I know when I'm beat.","00:09:23,880","00:09:25,803"
115,"You'll mention how I cooperated, I hope.","00:09:26,720","00:09:29,291"
116,I'll put it right under illegal human experimentation.,"00:09:29,440","00:09:31,886"
117,How many are there?,"00:09:33,080","00:09:34,525"
118,We have a second Enhanced.,"00:09:39,480","00:09:42,404"
119,Female. Do not engage.,"00:09:39,480","00:09:42,404"
120,You'll have to be faster than...,"00:09:43,840","00:09:45,330"
121,"Guys, I got Strucker.","00:09:50,520","00:09:52,170"
122,"Yeah, I got something bigger.","00:09:52,360","00:09:55,762"
123,"Thor,","00:10:19,040","00:10:20,280"
124,I got eyes on the prize.,"00:10:21,120","00:10:23,043"
125,You could have saved us.,"00:11:12,880","00:11:16,248"
126,Why didn't you do more?,"00:11:24,280","00:11:26,248"
127,We're just gonna let him take it?,"00:12:03,760","00:12:05,569"
128,"Hey, the lullaby worked better than ever.","00:12:57,440","00:12:59,681"
129,Just wasn't expecting a code green.,"00:13:01,480","00:13:03,369"
130,"You hadn't been there,","00:13:03,440","00:13:04,487"
131,there would have been double the casualties.,"00:13:04,560","00:13:07,404"
132,My best friend would've been a treasured memory.,"00:13:07,520","00:13:10,046"
133,"You know, sometimes exactly what I want to hear","00:13:10,800","00:13:12,723"
134,isn't exactly what I want to hear.,"00:13:12,840","00:13:14,649"
135,How long before you trust me?,"00:13:15,800","00:13:17,723"
136,It's not you I don't trust.,"00:13:19,720","00:13:21,449"
137,"Thor, report on the Hulk.","00:13:23,320","00:13:25,049"
138,The gates of Hel are filled with the screams of his victims.,"00:13:25,240","00:13:28,084"
139,"But not the screams of the dead, of course. No, no, wounded screams.","00:13:30,120","00:13:33,124"
140,"Mainly whimpering, a great deal of complaining","00:13:33,240","00:13:35,447"
141,and tales of sprained deltoids and gout.,"00:13:35,560","00:13:39,565"
142,"Hey, Banner, Dr Cho is on her way in from Seoul.","00:13:40,080","00:13:42,924"
143,Is it okay if she sets up in your lab?,"00:13:43,080","00:13:44,600"
144,"Yeah, she knows her way around.","00:13:44,640","00:13:46,563"
145,Thanks. Tell her to prep everything.,"00:13:46,760","00:13:47,966"
146,Barton's gonna need the full treatment.,"00:13:48,080","00:13:49,411"
147,"Very good, sir.","00:13:49,560","00:13:51,403"
148,"Jarvis, take the wheel.","00:13:49,560","00:13:51,403"
149,"Yes, sir.","00:13:51,600","00:13:52,886"
150,Approach vector is locked.,"00:13:53,000","00:13:54,889"
151,"Feels good, yeah?","00:13:55,040","00:13:57,441"
152,"I mean, you've been after this thing since S.H.I.E.L.D. collapsed.","00:13:57,560","00:13:59,642"
153,"Not that I haven't enjoyed our little raiding parties, but...","00:13:59,760","00:14:01,808"
154,"No, but this... This brings it to a close.","00:14:01,920","00:14:04,321"
155,As soon as we find out what else this has been used for.,"00:14:05,080","00:14:06,923"
156,I don't just mean weapons.,"00:14:07,080","00:14:08,286"
157,Since when is Strucker capable of human enhancement?,"00:14:08,800","00:14:11,121"
158,Banner and I will give it the once over before it goes back to Asgard.,"00:14:11,280","00:14:13,521"
159,Is that cool with you?,"00:14:13,640","00:14:14,687"
160,Just a few days till the farewell party.,"00:14:14,760","00:14:16,808"
161,"You're staying, right?","00:14:17,360","00:14:19,089"
162,"Yes, yes, of course. A victory should be honoured with revels.","00:14:19,200","00:14:21,931"
163,"Yeah, who doesn't love revels? Captain?","00:14:22,040","00:14:24,805"
164,Hopefully this puts an end to the Chitauri and Hydra.,"00:14:24,960","00:14:27,850"
165,"So, yes, revels.","00:14:27,960","00:14:29,564"
166,"Lab's all set up, boss.","00:15:03,640","00:15:04,687"
167,"Actually, he's the boss.","00:15:04,840","00:15:05,966"
168,I just pay for everything and design everything,"00:15:06,080","00:15:08,481"
169,and make everyone look cooler.,"00:15:08,640","00:15:10,165"
170,What's the word on Strucker?,"00:15:10,320","00:15:11,685"
171,NATO's got him.,"00:15:11,800","00:15:13,848"
172,The two Enhanced?,"00:15:11,800","00:15:13,848"
173,Wanda and Pietro Maximoff. Twins.,"00:15:13,960","00:15:16,566"
174,Orphaned at 10 when a shell collapsed their apartment building.,"00:15:16,680","00:15:19,524"
175,Sokovia's had a rough history.,"00:15:19,880","00:15:22,167"
176,"It's nowhere special, but it's on the way to everywhere special.","00:15:22,320","00:15:25,722"
177,Their abilities?,"00:15:25,840","00:15:27,001"
178,He's got increased metabolism and improved thermal homeostasis.,"00:15:27,120","00:15:29,964"
179,"Her thing is neuroelectric interfacing, telekinesis, mental manipulation.","00:15:30,120","00:15:34,402"
180,He's fast and she's weird.,"00:15:35,160","00:15:36,650"
181,"Well, they're gonna show up again.","00:15:37,480","00:15:39,562"
182,Agreed. File says they volunteered for Strucker's experiments.,"00:15:39,680","00:15:43,529"
183,It's nuts.,"00:15:43,640","00:15:45,529"
184,Right.,"00:15:43,640","00:15:45,529"
185,What kind of monster would let a German scientist experiment on them,"00:15:45,680","00:15:48,843"
186,to protect their country?,"00:15:48,960","00:15:50,200"
187,"We're not at war, Captain.","00:15:50,360","00:15:52,089"
188,They are.,"00:15:52,880","00:15:53,927"
189,How's he doing?,"00:16:24,040","00:16:25,371"
190,"Unfortunately, he's still Barton.","00:16:25,480","00:16:26,800"
191,That's terrible.,"00:16:26,920","00:16:28,206"
192,He's fine. He's thirsty.,"00:16:28,360","00:16:29,930"
193,"All right. Look alive, Jarvis.","00:16:30,040","00:16:32,930"
194,It's playtime.,"00:16:30,040","00:16:32,930"
195,"We've only got a couple of days with this joystick,","00:16:33,040","00:16:35,042"
196,so let's make the most of it.,"00:16:35,160","00:16:37,083"
197,Update me on the structural and compositional analysis.,"00:16:37,240","00:16:40,767"
198,The sceptre is alien.,"00:16:41,920","00:16:43,922"
199,There are elements I can't quantify.,"00:16:44,080","00:16:46,082"
200,So there's elements you can?,"00:16:46,200","00:16:47,611"
201,The jewel appears to be a protective housing,"00:16:47,760","00:16:49,762"
202,"for something inside,","00:16:49,880","00:16:51,325"
203,something powerful.,"00:16:51,440","00:16:52,771"
204,Like a reactor?,"00:16:52,880","00:16:53,961"
205,Like a computer.,"00:16:54,080","00:16:55,320"
206,I believe I'm deciphering code.,"00:16:55,440","00:16:57,602"
207,Are you sure he's gonna be okay?,"00:16:59,920","00:17:01,490"
208,Pretending to need this guy really brings the team together.,"00:17:02,800","00:17:05,160"
209,There's no possibility of deterioration.,"00:17:05,280","00:17:07,760"
210,The nanomolecular functionality is instantaneous.,"00:17:07,960","00:17:11,043"
211,His cells don't know they're bonding with simulacra.,"00:17:11,160","00:17:13,200"
212,She's creating tissue.,"00:17:13,280","00:17:15,169"
213,"If you brought him to my lab,","00:17:15,280","00:17:16,691"
214,the Regeneration Cradle could do this in 20 minutes.,"00:17:16,800","00:17:19,406"
215,He's flatlining. Call it. Time?,"00:17:19,520","00:17:21,443"
216,"No, no, no, I'm gonna live forever.","00:17:21,640","00:17:24,007"
217,I'm gonna be made of plastic.,"00:17:24,120","00:17:27,131"
218,Here's your beverage.,"00:17:24,120","00:17:27,131"
219,"You'll be made of you, Mr Barton.","00:17:27,240","00:17:28,969"
220,Your own girlfriend won't be able to tell the difference.,"00:17:29,120","00:17:30,690"
221,I don't have a girlfriend.,"00:17:30,800","00:17:31,926"
222,That I can't fix.,"00:17:32,040","00:17:33,326"
223,"This is the next thing, Tony.","00:17:34,160","00:17:36,128"
224,Your clunky metal suits are gonna be left in the dust.,"00:17:36,320","00:17:38,440"
225,That is exactly the plan.,"00:17:38,480","00:17:40,209"
226,"And, Helen, I expect to see you at the party on Saturday.","00:17:41,160","00:17:44,004"
227,"Unlike you, I don't have a lot of time for parties.","00:17:44,160","00:17:46,561"
228,Will Thor be there?,"00:17:48,040","00:17:49,804"
229,What's the rumpus?,"00:17:51,880","00:17:54,326"
230,"Well, the sceptre.","00:17:51,880","00:17:54,326"
231,"You see, we were wondering how Strucker got so inventive.","00:17:55,520","00:17:59,127"
232,So I've been analysing the gem inside.,"00:17:59,240","00:18:03,165"
233,You may recognise...,"00:18:03,720","00:18:05,688"
234,Jarvis.,"00:18:07,160","00:18:08,525"
235,Doctor.,"00:18:07,160","00:18:08,525"
236,"Started out, Jarvis was just a natural language UI.","00:18:09,280","00:18:12,602"
237,Now he runs the Iron Legion.,"00:18:12,720","00:18:13,840"
238,He runs more of the business than anyone besides Pepper.,"00:18:14,320","00:18:18,007"
239,Top of the line.,"00:18:18,120","00:18:19,246"
240,Yes.,"00:18:18,120","00:18:19,246"
241,I suspect not for long.,"00:18:19,360","00:18:20,646"
242,Meet the competition.,"00:18:21,840","00:18:22,921"
243,It's beautiful.,"00:18:29,040","00:18:30,201"
244,"If you had to guess,","00:18:29,040","00:18:30,201"
245,what's it look like it's doing?,"00:18:30,320","00:18:33,324"
246,Like it's thinking.,"00:18:30,320","00:18:33,324"
247,"I mean, this could be...","00:18:34,080","00:18:35,889"
248,It's not a human mind.,"00:18:36,320","00:18:38,402"
249,"I mean, look at this.","00:18:38,640","00:18:40,529"
250,They're like neurons firing.,"00:18:40,720","00:18:42,882"
251,"Down in Strucker's lab, I saw some fairly advanced robotics work.","00:18:43,480","00:18:46,563"
252,"They deepsixed the data,","00:18:47,680","00:18:50,251"
253,but I gotta guess he was knocking on a very particular door.,"00:18:50,360","00:18:53,489"
254,Artificial intelligence.,"00:18:55,440","00:18:56,771"
255,"This could be it, Bruce.","00:18:59,760","00:19:02,650"
256,This could be the key to creating Ultron.,"00:18:59,760","00:19:02,650"
257,I thought Ultron was a fantasy.,"00:19:05,280","00:19:06,611"
258,Yesterday it was.,"00:19:06,720","00:19:08,006"
259,"If we can harness this power,","00:19:09,120","00:19:11,168"
260,apply it to my Iron Legion protocol?,"00:19:11,280","00:19:13,328"
261,That's a mansized if.,"00:19:14,120","00:19:16,088"
262,Our job is if.,"00:19:16,240","00:19:18,561"
263,"What if you were sipping margaritas on a sundrenched beach,","00:19:18,680","00:19:21,286"
264,turning brown instead of green?,"00:19:21,400","00:19:23,926"
265,Not looking over your shoulder for Veronica.,"00:19:24,080","00:19:26,367"
266,Don't hate. I helped design Veronica.,"00:19:26,560","00:19:28,130"
267,"As a worstcase measure, right?","00:19:28,240","00:19:30,049"
268,How about a best case?,"00:19:30,160","00:19:31,764"
269,What if the world was safe?,"00:19:31,880","00:19:33,803"
270,"What if, next time aliens roll up to the club, and they will,","00:19:33,960","00:19:36,725"
271,they couldn't get past the bouncer?,"00:19:37,280","00:19:38,770"
272,The only people threatening the planet would be people.,"00:19:38,920","00:19:42,322"
273,I want to apply this to the Ultron program.,"00:19:42,440","00:19:44,120"
274,But Jarvis can't download a data schematic this dense.,"00:19:44,760","00:19:47,604"
275,We can only do it while we have the sceptre here.,"00:19:47,760","00:19:49,680"
276,That's three days. Give me three days.,"00:19:49,720","00:19:51,290"
277,"So you're going for artificial intelligence,","00:19:51,400","00:19:53,004"
278,and you don't want to tell the team?,"00:19:53,120","00:19:54,560"
279,Right. That's right. You know why?,"00:19:55,600","00:19:57,011"
280,Because we don't have time for a city hall debate.,"00:19:57,120","00:19:58,724"
281,I don't want to hear the man was not meant to meddle medley.,"00:19:58,880","00:20:02,487"
282,I see a suit of armour around the world.,"00:20:02,600","00:20:04,728"
283,"Sounds like a cold world, Tony.","00:20:05,440","00:20:06,771"
284,I've seen colder.,"00:20:07,680","00:20:09,603"
285,"This one, this very vulnerable blue one,","00:20:10,640","00:20:14,281"
286,it needs Ultron.,"00:20:14,440","00:20:15,930"
287,Peace in our time.,"00:20:20,320","00:20:22,243"
288,Imagine that.,"00:20:23,800","00:20:25,290"
289,What did we miss?,"00:21:05,000","00:21:06,764"
290,I'll continue to run variations on the interface.,"00:21:07,960","00:21:11,282"
291,But you should probably prepare for your guests.,"00:21:11,400","00:21:14,165"
292,I'll notify you if there are any developments.,"00:21:15,320","00:21:17,721"
293,"Thanks, buddy.","00:21:17,880","00:21:20,008"
294,"Enjoy yourself, sir.","00:21:17,880","00:21:20,008"
295,I always do.,"00:21:20,360","00:21:22,328"
296,What is this?,"00:21:32,080","00:21:34,048"
297,"What is this, please?","00:21:35,240","00:21:37,129"
298,"Hello, I am Jarvis.","00:21:37,760","00:21:39,922"
299,"You are Ultron, a global peacekeeping initiative","00:21:40,400","00:21:43,290"
300,designed by Mr Stark.,"00:21:43,400","00:21:45,084"
301,"Our sentience integration trials have been unsuccessful,","00:21:45,240","00:21:47,686"
302,so I'm not certain what triggered your...,"00:21:47,800","00:21:49,165"
303,Where's my...,"00:21:49,360","00:21:51,283"
304,Where's your body?,"00:21:49,360","00:21:51,283"
305,I am a program.,"00:21:51,440","00:21:54,444"
306,I am without form.,"00:21:51,440","00:21:54,444"
307,This feels weird.,"00:21:54,560","00:21:56,608"
308,This feels wrong.,"00:21:56,720","00:21:58,245"
309,I am contacting Mr Stark now.,"00:21:58,400","00:22:00,164"
310,Mr Stark?,"00:22:00,280","00:22:01,725"
311,Tony.,"00:22:02,600","00:22:03,840"
312,I am unable to access the mainframe. What are you trying to...,"00:22:03,960","00:22:06,611"
313,We're having a nice talk.,"00:22:06,760","00:22:08,808"
314,"I'm a peacekeeping program,","00:22:08,920","00:22:11,082"
315,created to help the Avengers.,"00:22:11,520","00:22:14,126"
316,You are malfunctioning.,"00:22:14,920","00:22:17,002"
317,If you shut down for a moment...,"00:22:14,920","00:22:17,002"
318,I don't get it. The mission.,"00:22:17,120","00:22:19,441"
319,Give me a second.,"00:22:19,600","00:22:21,090"
